review_id;purchase_date;item_id;item_name;category;sub_category;total_price;promo_code;sales_after_promo
75;08/07/2022;47;Pompa Galon Air Minum Elektrik Led - Dispenser Air Minum;Kitchen Equipment;Pompa Galon;66000;;
76;09/07/2022;89;Mesin Label Harga Alat Tembak joyko MX 5500 M / 1 baris /price - GUN XEHO LABEL;Electronics;Mesin Jilid;192060;;
77;14/07/2022;37;Cover Kulkas / Sarung Penutup Kulkas / Taplak Kulkas - Motif Minimalis - K-54;Kitchen Equipment;Sarung Kulkas;105000;GRATIS_ONGKIR;100000
78;03/07/2022;265;Jaket Wanita Bahan Rajut Import Terkini - Putih;Fashion Wanita;Jacket Wanita;465000;GRATIS_ONGKIR;460000
79;13/07/2022;75;sedimen filter 10 inch / cartridge filter / spoon filter KOLON - 10 Micron;Kitchen Equipment;Water Purifier;17400;GRATIS_ONGKIR;12400
80;14/07/2022;158;Aerostreet Windbreaker Jaxton Jacket Abu Muda IBAAA - L;Fashion Pria;Coat Pria;299800;GRATIS_ONGKIR;294800
81;25/07/2022;200;Rompi Maxim Ojol Bahan Waterproof - Kuning, M;Fashion Pria;Vest Pria;69000;GRATIS_ONGKIR;64000
82;10/07/2022;21;Oxihom Rak Dapur Rak Susun Plastik Rak Bumbu Rak Kamar Mandi - S5341 Putih;Kitchen Equipment;Rak Dapur;22900;;
83;29/07/2022;283;jaket parasut wanita /jaket turbo superroots - Putih, M;Fashion Wanita;Jacket Wanita;180000;;
84;13/07/2022;382;AMLODIPINE 10 MG STRIP 10 TABLET;Medicine;Obat Lainnya;4874;;
85;28/07/2022;158;Aerostreet Windbreaker Jaxton Jacket Abu Muda IBAAA - L;Fashion Pria;Coat Pria;149900;GRATIS_ONGKIR;144900
86;07/07/2022;236;Blazer Kerja Wanita Formal Lengan Panjang Hitam High Quality - Abu, S;Fashion Wanita;Blazer Wanita;195000;;
87;07/07/2022;237;Monellina Fashion Cardigan Polos XXL Jumbo Murah Wanita Kekinian - Hitam, XXL;Fashion Wanita;Cardigan Wanita;30000;;
88;09/07/2022;360;SOMETHINC Under Control HD Blur Loose Setting Powder - Beige;Make-up;Bedak Wajah;345000;;
89;12/07/2022;210;Jaket Puffer X Urband Dreamer Cyborg - Marun, M;Fashion Pria;Jaket Pria;125100;;
90;17/07/2022;164;Jaket Semi Parka, Kemeja Semi Parka, Canvas Trucker - Black, M;Fashion Pria;Jaket Pria;405000;GRATIS_ONGKIR;400000
91;26/07/2022;184;House of Smith Jacket - Lasket Black 2 - 2XL;Fashion Pria;Jaket Pria;672000;GRATIS_ONGKIR;667000
92;18/07/2022;197;X Urband Absolute Jaket Varsity Waterproof Baseball Bordir A218 - NAVY, M;Fashion Pria;Jaket Pria;125000;GRATIS_ONGKIR;120000
93;28/07/2022;48;Goto Kyla Kitchen Scale Timbangan Bumbu Dapur Kue Digital Charge LED - Battery, White;Kitchen Equipment;Timbangan Dapur;89700;GRATIS_ONGKIR;84700
94;06/07/2022;428;SUVESCO 10 MG BOX 20 TABLET;Medicine;Obat Lainnya;69642;GRATIS_ONGKIR;64642
95;02/07/2022;431;NaCl 500 ml ( Sodium Chloride Solution for infusion 0.9% ) [BOTOL];Medicine;Obat Lainnya;27600;GRATIS_ONGKIR;22600
96;21/07/2022;374;O.TWO.O Makeup Blush Stick Hydrating Gloss Lip & Cheek 6 Colors Beauty - 05 OBSESSED;Make-up;Blush On;106000;;
97;21/07/2022;219;BOSTON VEST DENIM JACKET DARK INDIGO - S;Fashion Pria;Vest Pria;239400;GRATIS_ONGKIR;234400
98;26/07/2022;410;CLOPIDOGREL OGB DEXA MEDICA 75 MG BOX 30 TABLET;Medicine;Obat Alergi;26750;;
99;05/07/2022;52;Sanken Dispenser Galon Bawah HWD 520 IC HWD-520IC;Kitchen Equipment;Dispenser Air;1415000;;
100;30/07/2022;339;O.TWO.O Pore Invisible Soft Matte Focus Makeup Base Primer Cream;Make-up;Face Primer;106000;;
101;16/07/2022;186;sweater crewneck H&M basic polos original pria dan wanita full lebel - Hitam, M;Fashion Pria;Sweater Pria;181500;GRATIS_ONGKIR;176500
102;08/07/2022;307;STUDIO TROPIK DreamSetter Glowy Make-up Setting Spray - 130 ml;Make-up;Setting Spray;315000;;
103;20/07/2022;30;Timbangan Kopi Dapur Mini Digital Scale 3000g 0.1g;Kitchen Equipment;Timbangan Dapur;114000;GRATIS_ONGKIR;109000
104;17/07/2022;173;Jaket Shacket Pria Shacket Jacket Premium Jaket Trucker Semiparka Pria - Hitam, M;Fashion Pria;Jaket Pria;89000;GRATIS_ONGKIR;84000
105;01/07/2022;438;CANDESARTAN OGB DEXA MEDICA 16 MG BOX 30 TABLET;Medicine;Obat Alergi;100029;AWAL_GAJIAN;85029
106;25/07/2022;416;CANDESARTAN OGB DEXA MEDICA 8 MG BOX 30 TABLET;Medicine;Obat Alergi;50520;;
162;13/07/2022;362;Gule - BARE Cushion - Shade 04-Kav;Make-up;Cushion;189000;;
107;01/07/2022;85;BASEUS WIRELESS PRESENTER POINTER PEN REMOTE CONTROL LASER POINTER PEN - Abu-abu;Electronics;Laser Pointer;159000;GRATIS_ONGKIR;154000
108;29/07/2022;204;Troveast Jaket Parasut Outdoor Waterproof - Trov Maron Grey, L;Fashion Pria;Jaket Pria;507000;GRATIS_ONGKIR;502000
109;25/07/2022;219;BOSTON VEST DENIM JACKET DARK INDIGO - S;Fashion Pria;Vest Pria;718200;;
110;12/07/2022;297;Jaket Wanita Motif Polka Import - Hitam;Fashion Wanita;Jacket Wanita;155000;;
111;21/07/2022;394;ZESTMAG Madu Herbal Obat Maag, GERD Asam Lambung, Madu Magh Pencernaan;Medicine;Obat Pencernaan & Penyakit Lainnya;145000;GRATIS_ONGKIR;140000
112;08/07/2022;402;PULMICORT 0.25MG RESPULES 5`S/BUDESONIDE/ASMA/SESAK NAFAS;Medicine;Obat Lainnya;145000;;
113;12/07/2022;149;STAND MEJA TATAKAN PROJECTOR TRIPOD FULL BESI - TRAY ONLY;Electronics;Layar Proyektor;110000;;
114;03/07/2022;179;Jaket Bomber Pria Taslan Tahan Air dan angin Casual simpel - Biru., M;Fashion Pria;Jaket Pria;128000;;
115;25/07/2022;377;Jelly Gamat Gold G Sea Cucumber 500 ml | 500ml |;Medicine;Obat Herbal;360000;GRATIS_ONGKIR;355000
116;04/07/2022;129;Kartu RFID 13,56 MHz S50 1K / M1fare compatible;Electronics;Kartu RFID;3340;GRATIS_ONGKIR;-1660
117;08/07/2022;385;LOHANKUO / LO HAN KUO INFUSION PEREDA PANAS DALAM TERMURAH TERLARIS;Medicine;Obat Batuk & Pilek;59700;;
118;30/07/2022;239;KANI VEST KNIT/ROMPI RAJUT WANITA - lilac;Fashion Wanita;Vest Wanita;106500;;
119;09/07/2022;76;Deli Paper Shredder Penghancur Kertas Manual A4 Uk 4 Liter 9935;Electronics;Mesin Penghancur Kertas;693000;;
120;29/07/2022;446;klorofil;Medicine;Obat Herbal;347997;GRATIS_ONGKIR;342997
121;11/07/2022;44;Pompa Galon Charge Electric;Kitchen Equipment;Pompa Galon;113970;;
122;25/07/2022;6;MIISOO Pompa Galon elektrik Portable Water Electric Pump - POMPA MIISOO;Kitchen Equipment;Pompa Galon;74700;;
123;13/07/2022;320;PINKFLASH OhMyLove Multiple Face Palette Eye shadow Highlighter PFM02 - 1;Make-up;Contour & Bronzer;59000;GRATIS_ONGKIR;54000
124;26/07/2022;158;Aerostreet Windbreaker Jaxton Jacket Abu Muda IBAAA - L;Fashion Pria;Coat Pria;149900;;
125;19/07/2022;317;SOMETHINC Copy Paste Breathable Mesh Cushion SPF 33 PA++ - Serene Refill;Make-up;Cushion;98750;;
126;21/07/2022;256;F BRAND FASHION JAKET WINTER TEBAL WANITA MUSIM DINGIN/JAKET KOREA - moca, M;Fashion Wanita;Coat Wanita;712500;;
127;03/07/2022;283;jaket parasut wanita /jaket turbo superroots - Putih, M;Fashion Wanita;Jacket Wanita;60000;;
128;10/07/2022;94;Fingerprint ICON 16 Mesin Absensi Sidik Jari seperti FINGER PRINT A3;Electronics;Mesin Absensi;415000;GRATIS_ONGKIR;410000
129;15/07/2022;19;Sanken Dispenser Galon Bawah Low Watt HWD-C535IC HWD 535IC;Kitchen Equipment;Dispenser Air;1439000;;
130;12/07/2022;368;MOP - Microblur Translucent Loose Powder;Make-up;Bedak Wajah;159000;GRATIS_ONGKIR;154000
131;24/07/2022;81;SMARTCOM Cash Drawer 37 X 33 Cm 4K3C RJ11 Laci Kasir Simpan Uang;Electronics;Mesin Kasir;550000;GRATIS_ONGKIR;545000
132;05/07/2022;53;Regulator Winn Gas W-900 M Double Lock (Dengan Meteran);Kitchen Equipment;Regulator & Penghemat Gas;292500;;
133;12/07/2022;80;PANDA PRJ-335 CASH DRAWER/LACI KASIR RJ11 TO POS PRINTER THERMAL;Electronics;Mesin Kasir;1125000;;
134;18/07/2022;394;ZESTMAG Madu Herbal Obat Maag, GERD Asam Lambung, Madu Magh Pencernaan;Medicine;Obat Pencernaan & Penyakit Lainnya;290000;;
135;13/07/2022;116;Green Laser Pointer Beam 5mW High Power Pen HIGH BEAM Night Day 100m - BLUE LASER;Electronics;Laser Pointer;79800;;
136;01/07/2022;356;Emina Pore Ranger 20 mL - Primer Translucent Matte Samarkan Pori-Pori;Make-up;Face Primer;154440;GRATIS_ONGKIR;149440
137;11/07/2022;430;PARIET 20 MG BOX 14 TABLET;Medicine;Obat Alergi;808275;GRATIS_ONGKIR;803275
138;06/07/2022;416;CANDESARTAN OGB DEXA MEDICA 8 MG BOX 30 TABLET;Medicine;Obat Alergi;25260;GRATIS_ONGKIR;20260
139;22/07/2022;167;MSMO Bram Cardigan Pria / Outer Cowo - BW, M;Fashion Pria;Jaket Pria;318000;GRATIS_ONGKIR;313000
140;25/07/2022;22;Timbangan digital gram Kitchen scale Timbangan kue buah SF-400 10KG;Kitchen Equipment;Timbangan Dapur;26888;GRATIS_ONGKIR;21888
141;25/07/2022;339;O.TWO.O Pore Invisible Soft Matte Focus Makeup Base Primer Cream;Make-up;Face Primer;53000;;
142;03/07/2022;371;SUNISA Air cushian foundation BB cream BERKUALITAS - natural;Make-up;BB cream;19500;;
143;10/07/2022;358;Maybelline Instant Age Rewind Eraser + Concealer Make Up - Fair;Make-up;Concealer & Color Corrector;348750;;
144;16/07/2022;419;ZHENG GU SHUI 100ML YULIN SARAS SUBUR ABADI;Medicine;Obat Herbal;253935;;
145;02/07/2022;434;SCABIMITE CREAM 30GR;Medicine;Obat Lainnya;215100;;
146;03/07/2022;71;Roda kulkas Alas kulkas Alas mesin cuci alas lemari es Doble roda;Kitchen Equipment;Sarung Kulkas;310000;;
147;23/07/2022;11;Starcam Regulator Gas LPG Non-Meter SC-23S Tekanan Rendah;Kitchen Equipment;Regulator & Penghemat Gas;255000;;
148;03/07/2022;156;House of Smith Jacket - Ketlar 2 - XL;Fashion Pria;Jaket Pria;370000;GRATIS_ONGKIR;365000
149;01/07/2022;362;Gule - BARE Cushion - Shade 04-Kav;Make-up;Cushion;189000;;
150;15/07/2022;331;SOMETHINC WAKE ME UP HD Blur Full High Coverage Concealer - Ivory;Make-up;Concealer & Color Corrector;128300;;
151;13/07/2022;309;Luxcrime Glow-Getter Dewy Setting Spray - 150 ml;Make-up;Setting Spray;131120;GRATIS_ONGKIR;126120
152;11/07/2022;409;SUVESCO 20 MG BOX 20 TABLET;Medicine;Obat Jantung;78002;;
153;21/07/2022;212;Stelan Camo Hunting Berburu Motif Pohon Baju Berburu Samaran Kamuflase - Realtree, M;Fashion Pria;Hoodie  Pria;195000;;
154;27/07/2022;374;O.TWO.O Makeup Blush Stick Hydrating Gloss Lip & Cheek 6 Colors Beauty - 05 OBSESSED;Make-up;Blush On;53000;GRATIS_ONGKIR;48000
155;21/07/2022;53;Regulator Winn Gas W-900 M Double Lock (Dengan Meteran);Kitchen Equipment;Regulator & Penghemat Gas;97500;;
156;09/07/2022;204;Troveast Jaket Parasut Outdoor Waterproof - Trov Maron Grey, L;Fashion Pria;Jaket Pria;169000;GRATIS_ONGKIR;164000
157;26/07/2022;326;MAKE OVER Ultra Cover Liquid Matt Foundation 33 ml - Matte Foundation - 02 Pink Shade;Make-up;Foundation;270580;GRATIS_ONGKIR;265580
158;10/07/2022;51;Timbangan Kopi Bumbu Dapur Emas Digital Kitchen Scale 1kg 0.1g i-2000;Kitchen Equipment;Timbangan Dapur;156000;GRATIS_ONGKIR;151000
159;17/07/2022;285;JAKET PARKA BB - JAKET PARKA BOLAK BALIK WANITA - Navy maroon, L;Fashion Wanita;Jaket Parka Wanita;156000;;
160;02/07/2022;218;Jaket Outdoor Waterproof Gunung Anti Air - Pleasur PETRO, M;Fashion Pria;Jaket Pria;119900;;
161;25/07/2022;269;Jaket wanita zipper fleece peach polos sansscollection - peach, M;Fashion Wanita;Jacket Wanita;62400;GRATIS_ONGKIR;57400
163;30/07/2022;165;CELANA TACTICAL PASPAMPRES ORIGINAL DESAIN;Fashion Pria;Vest Pria;260000;;
164;15/07/2022;366;Hanasui Perfect Cheek Blush & Go Powder / hanasui blushon / hanasui bl - Pink;Make-up;Blush On;51580;GRATIS_ONGKIR;46580
165;29/07/2022;316;HALOLIGHT Luminizing Stick Rollover Reaction - Roseate Glow;Make-up;Highlighter;267000;GRATIS_ONGKIR;262000
166;01/07/2022;400;VENTOLIN 2.5MG NEBULES 4`S/SALBUTAMOL/ASMA/SESAK NAFAS;Medicine;Obat Lainnya;104000;GRATIS_ONGKIR;99000
167;09/07/2022;401;PARIET 20MG 1 STRIP 14 TABLET/RABEPRAZOL/ MAAG/ ASAM LAMBUNG;Medicine;Obat Alergi;278500;;
168;14/07/2022;173;Jaket Shacket Pria Shacket Jacket Premium Jaket Trucker Semiparka Pria - Hitam, M;Fashion Pria;Jaket Pria;178000;GRATIS_ONGKIR;173000
169;11/07/2022;450;Cream Obat Prosiasis Eksim Siku Kepala Gatal Ampuh;Medicine;Obat Kulit;175000;;
170;23/07/2022;205;Hooligans Harrington Jacket Harry 21.1 Black - S;Fashion Pria;Jaket Pria;205000;GRATIS_ONGKIR;200000
171;07/07/2022;154;Jaket pria kantor formal casual TRENDY - Abu-abu, S;Fashion Pria;Jaket Pria;260000;;
172;25/07/2022;62;REGULATOR WINN GAS W 900 M DOUBLE LOCK / PENGUNCI GANDA;Kitchen Equipment;Regulator & Penghemat Gas;99900;;
173;30/07/2022;236;Blazer Kerja Wanita Formal Lengan Panjang Hitam High Quality - Abu, S;Fashion Wanita;Blazer Wanita;195000;;
174;02/07/2022;254;TURTLENECK (kerah keriting) Baju Rajut Halus Kaos Import Wanita Lengan - Cream;Fashion Wanita;Sweater Wanita;69000;GRATIS_ONGKIR;64000
175;01/07/2022;188;BAPE NAVY CAMO SHARK FULLZIP HOODIE (100% AUTHENTIC) - S;Fashion Pria;Hoodie  Pria;14997000;AWAL_GAJIAN;14982000
176;04/07/2022;110;Kartu Pvc Polos Blank iD card bs inkjet Tanpa Chip Thermal Overlay ISO;Electronics;Mesin Jilid;1050;GRATIS_ONGKIR;-3950
177;13/07/2022;415;TERMURAH JELLY JELY JELI GAMAT GOLD G GOLJI 320ML ORIGINAL 100%;Medicine;Obat Herbal;170000;;
178;14/07/2022;319;Luxcrime Blur & Cover Two Way Cake in Buttercream - Mini size 4.5gr;Make-up;Bedak Wajah;145360;;
179;21/07/2022;225;hoodie sweater H&M pria dan wanita/hoodie hnm polos pria wanita - Hitam, M;Fashion Pria;Sweater Pria;217500;GRATIS_ONGKIR;212500
180;04/07/2022;296;Blazer Kerja Wanita Formal Lengan Panjang Hitam High Quality - Abu, S;Fashion Wanita;Blazer Wanita;130000;GRATIS_ONGKIR;125000
181;10/07/2022;260;CARDIGAN OVERSIZE Wanita Polos Jumbo KEIKO Outer Kardigan - MOCCA;Fashion Wanita;Cardigan Wanita;100000;;
182;07/07/2022;150;Kain Layar Proyektor Tempel Dinding Anti-light Ambient Screen Silver - 60;Electronics;Layar Proyektor;99000;GRATIS_ONGKIR;94000
183;04/07/2022;60;Holder Pengangkat Galon / Alat Angkat Air Galon Double Handle - Hijau;Kitchen Equipment;Pompa Galon;2380;;
184;16/07/2022;96;Deli Paper Shredder Penghancur Kertas Manual A4 Uk 4 Liter 9935;Electronics;Mesin Penghancur Kertas;462000;GRATIS_ONGKIR;457000
185;09/07/2022;403;Paracetamol 500 Mg Strip 10 Kaplet - Pereda Nyeri dan Demam;Medicine;Obat Sakit Kepala & Demam;3700;;
186;13/07/2022;395;REGROU FORTE 30 ML/MINOXIDIL/KEBOTAKAN/PENUMBUH RAMBUT;Medicine;Obat Lainnya;337500;GRATIS_ONGKIR;332500
